user1,user2,weight
02c9129548e92a2052f616144b1691703433e10308996993c1f1277d609996ac,4a4e0b255970b061987faf747a5937eb20cde3f62ea4432db39a2064a500170d,1
02c9129548e92a2052f616144b1691703433e10308996993c1f1277d609996ac,66ea134323c09905ee9d91652300c5c9487327a0ef9660b0b7aced9150eedb4c,1
02c9129548e92a2052f616144b1691703433e10308996993c1f1277d609996ac,d6f0615523c7ebcb729e00d102921946754680ab141051dfc1ad93554ee44bb9,1
02c9129548e92a2052f616144b1691703433e10308996993c1f1277d609996ac,d8b0abf2de5dbf3ffc95051a36ed80fa2cda0b92efe487086cd1137e7d352b78,1
02c9129548e92a2052f616144b1691703433e10308996993c1f1277d609996ac,fedd5fbc1d6c6e7f3e19a28a86142bb88ad733f354b47a525acc3c8ed0d3e7c3,1
02fdbbce9f36a93ed8056e0a1b02a857a0bce32e7d96d01d021e91b51681d134,0404c43fd292e150e475afeff9a6975d5ee14a8647ee97fce25f515b93759a2c,1
02fdbbce9f36a93ed8056e0a1b02a857a0bce32e7d96d01d021e91b51681d134,3978316814,2
02fdbbce9f36a93ed8056e0a1b02a857a0bce32e7d96d01d021e91b51681d134,3c46bd68165bb49be66c657de7f09b1cbd130e65934abd29f5aec28e2a86d43d,3
02fdbbce9f36a93ed8056e0a1b02a857a0bce32e7d96d01d021e91b51681d134,3fb378539e01fe68efd1251da36d22ccda3260a84474931c902e4de3e160d5a4,1
02fdbbce9f36a93ed8056e0a1b02a857a0bce32e7d96d01d021e91b51681d134,500240550fb81915bdd63d94aa29e73176bff5048595b5ec4b1b5211a95f71b5,2
02fdbbce9f36a93ed8056e0a1b02a857a0bce32e7d96d01d021e91b51681d134,5f452585194266b94e60c99e1dd07f808ceb2b26b10cfb939c2e5ad47888be1c,1
02fdbbce9f36a93ed8056e0a1b02a857a0bce32e7d96d01d021e91b51681d134,6791992ed85cd2e739f57d9e4f1a4d1ac119577cdece986e1e049ade25c2d793,3
02fdbbce9f36a93ed8056e0a1b02a857a0bce32e7d96d01d021e91b51681d134,6c5cd0a29d4d9dc7821e34aea8dbd5bb4312bfb14b774fabccaecd44db86280d,3
02fdbbce9f36a93ed8056e0a1b02a857a0bce32e7d96d01d021e91b51681d134,74c5eb30de3d6691e150879ee8528463c70b0feaefed9766fcbbcc8b2458221a,1
02fdbbce9f36a93ed8056e0a1b02a857a0bce32e7d96d01d021e91b51681d134,8e58ab0f46d273103d9e71aa92cdaffb6e330ec7d15ae5fa79c825e2d6f291bf,3
02fdbbce9f36a93ed8056e0a1b02a857a0bce32e7d96d01d021e91b51681d134,c465bceee4e65cc392661fafdecabc98450eb1f0b67e66a5a0d69be631f34ca5,3
02fdbbce9f36a93ed8056e0a1b02a857a0bce32e7d96d01d021e91b51681d134,c567f55d5430039ab5b53980a337cd6e3399e842f186e3930a92d7f2e11d27d6,5
02fdbbce9f36a93ed8056e0a1b02a857a0bce32e7d96d01d021e91b51681d134,cd0e6a3af6160a511a2cea1bda54113ea9ba8ba27b70575e4d3612c6074c342b,4
02fdbbce9f36a93ed8056e0a1b02a857a0bce32e7d96d01d021e91b51681d134,cfe9315d7429aedb7f843a165185d91f0ae819e54026d8a22a4f6e539f5e9132,1
02fdbbce9f36a93ed8056e0a1b02a857a0bce32e7d96d01d021e91b51681d134,d225180304e4fafe5af936306b254e2cf5f2a950d6947f94c6ab44f7d51e2606,2
02fdbbce9f36a93ed8056e0a1b02a857a0bce32e7d96d01d021e91b51681d134,e579b30026998948100e534d656b6f27770e519fab233bccaf8b6c18b4a862c8,1
02fdbbce9f36a93ed8056e0a1b02a857a0bce32e7d96d01d021e91b51681d134,e8e7c2bfdb7272a4a7db5dfcbb01627222d934054e99469baba6a2fe5edb9f92,1
02fdbbce9f36a93ed8056e0a1b02a857a0bce32e7d96d01d021e91b51681d134,efbb959a308f1bd1199a15221511bdd9e8945a3a02da83ce9d6585224733a8f6,1
03003635a630551697f15e03e2706fd19ca5e7d12632543548b009e1755af215,d77dd3dcb77dc8da05a67e4f7733be76e1fb115b311a3db2ef61b00a3f590455,1
0404c43fd292e150e475afeff9a6975d5ee14a8647ee97fce25f515b93759a2c,0dea399346f2f1a94e11fbc84897a35f1ccd3fcde6ea5f0e207ba0b296412e47,1
0404c43fd292e150e475afeff9a6975d5ee14a8647ee97fce25f515b93759a2c,138c356cde5939060f3491ce10e756cadb57274aba02e94069345205d0744167,1
0404c43fd292e150e475afeff9a6975d5ee14a8647ee97fce25f515b93759a2c,14882528f53ed4b8fbadce206679b89258e363212b5a63f31777f4e93e1a5ccf,1
0404c43fd292e150e475afeff9a6975d5ee14a8647ee97fce25f515b93759a2c,274d180d1de8828a8e3e7f62eec224ba9e3d04481e5d9eb29bf1cab882004a1b,1
0404c43fd292e150e475afeff9a6975d5ee14a8647ee97fce25f515b93759a2c,40bd0ff013b85c7646ca07ad238bc4dc865ce2cc87034af6e7884e69481f6422,1
0404c43fd292e150e475afeff9a6975d5ee14a8647ee97fce25f515b93759a2c,500240550fb81915bdd63d94aa29e73176bff5048595b5ec4b1b5211a95f71b5,1
0404c43fd292e150e475afeff9a6975d5ee14a8647ee97fce25f515b93759a2c,56078c7539382d72f23d6958f0c74928ae27bd6e6a798e3cfcfe661696d3fc62,2
0404c43fd292e150e475afeff9a6975d5ee14a8647ee97fce25f515b93759a2c,566e45ac92c91b4ef5d8b96bd86b67f18534e4bd2ca92476d3475b1d78a7ed3a,1
0404c43fd292e150e475afeff9a6975d5ee14a8647ee97fce25f515b93759a2c,77755623608ac46aacd68d114868ffebad0b2cbd4d29f0fe99143d93d51864ad,2
0404c43fd292e150e475afeff9a6975d5ee14a8647ee97fce25f515b93759a2c,89a2f00b31845b52271dd0b5715dd0809d3de1b1a4d6062405202a27d056aabd,1
0404c43fd292e150e475afeff9a6975d5ee14a8647ee97fce25f515b93759a2c,c465bceee4e65cc392661fafdecabc98450eb1f0b67e66a5a0d69be631f34ca5,1
0404c43fd292e150e475afeff9a6975d5ee14a8647ee97fce25f515b93759a2c,cfe9315d7429aedb7f843a165185d91f0ae819e54026d8a22a4f6e539f5e9132,1
0404c43fd292e150e475afeff9a6975d5ee14a8647ee97fce25f515b93759a2c,ddfd06b8f6b4181acba40f0858d321d7621f13f6b7898e9bfc2396071db5f241,1
0404c43fd292e150e475afeff9a6975d5ee14a8647ee97fce25f515b93759a2c,e8e7c2bfdb7272a4a7db5dfcbb01627222d934054e99469baba6a2fe5edb9f92,1
0404c43fd292e150e475afeff9a6975d5ee14a8647ee97fce25f515b93759a2c,f1dc2d4ba0ac7fa438def6de29cad092542d54ae4364b9e193ae7c1a8653f382,1
0512ea612cfe45a7d9c8c0fd42466e8a8068a6fb3efb34baf7e7be40da578539,0512ea612cfe45a7d9c8c0fd42466e8a8068a6fb3efb34baf7e7be40da578539,1
0512ea612cfe45a7d9c8c0fd42466e8a8068a6fb3efb34baf7e7be40da578539,1650681522,2
0512ea612cfe45a7d9c8c0fd42466e8a8068a6fb3efb34baf7e7be40da578539,1718000594,3
0512ea612cfe45a7d9c8c0fd42466e8a8068a6fb3efb34baf7e7be40da578539,2532611755,1
